PathParameter	MaxPathLikelihood	MLContribution
0.0000	-35260	-0.0090186
2.1544e-07	-35211	-0.081500
2.1715e-06	-35020	-0.25928
8.3895e-06	-34858	-0.55523
2.1888e-05	-34877	-1.0196
4.6050e-05	-35089	-1.6038
8.4561e-05	-35133	-2.3310
0.00014136	-34265	-3.2079
0.00022061	-33613	-4.2388
0.00032669	-33314	-5.3415
0.00046416	-33280	-6.6380
0.00063774	-33424	-8.0746
0.00085232	-33530	-9.6064
0.0011130	-33375	-11.199
0.0014248	-33454	-13.215
0.0017932	-33026	-15.101
0.0022237	-33138	-17.257
0.0027216	-32989	-19.676
0.0032929	-32810	-22.024
0.0039432	-32970	-24.860
0.0046784	-32846	-27.711
0.0055047	-32735	-30.908
0.0064280	-32654	-34.306
0.0074546	-32766	-37.917
0.0085909	-32413	-41.700
0.0098431	-32643	-45.727
0.011218	-32546	-49.870
0.012722	-32546	-54.257
0.014361	-32386	-58.695
0.016143	-32438	-63.556
0.018075	-32350	-68.493
0.020162	-32334	-73.625
0.022413	-32328	-79.140
0.024834	-32220	-84.774
0.027432	-32269	-90.699
0.030215	-32264	-96.593
0.033190	-32172	-102.96
0.036364	-32210	-109.59
0.039745	-32161	-116.53
0.043339	-32138	-123.52
0.047156	-32166	-130.92
0.051201	-32125	-138.47
0.055484	-32132	-146.26
0.060011	-32111	-154.27
0.064790	-32076	-162.56
0.069830	-32012	-171.10
0.075138	-32017	-179.81
0.080722	-32014	-188.95
0.086591	-32002	-198.18
0.092751	-31992	-207.68
0.099213	-31956	-217.37
0.10598	-31894	-227.43
0.11307	-31929	-237.68
0.12048	-31909	-248.15
0.12823	-31869	-258.97
0.13631	-31842	-270.10
0.14475	-31839	-281.26
0.15355	-31819	-292.80
0.16271	-31826	-304.68
0.17226	-31810	-316.68
0.18218	-31771	-329.03
0.19250	-31781	-341.80
0.20322	-31719	-354.35
0.21436	-31734	-367.65
0.22591	-31667	-381.04
0.23789	-31678	-394.68
0.25031	-31669	-408.74
0.26318	-31662	-422.94
0.27650	-31655	-437.54
0.29029	-31648	-452.49
0.30455	-31624	-467.45
0.31930	-31622	-482.97
0.33454	-31606	-498.56
0.35028	-31583	-514.51
0.36653	-31580	-530.84
0.38330	-31589	-547.59
0.40060	-31581	-564.60
0.41844	-31560	-581.49
0.43683	-31557	-598.90
0.45578	-31551	-616.83
0.47530	-31536	-634.91
0.49539	-31546	-653.43
0.51608	-31539	-672.05
0.53735	-31531	-690.93
0.55924	-31530	-710.36
0.58174	-31522	-729.89
0.60487	-31530	-750.18
0.62863	-31518	-770.18
0.65304	-31520	-790.90
0.67811	-31514	-811.67
0.70384	-31516	-833.08
0.73025	-31517	-854.57
0.75734	-31510	-876.32
0.78513	-31511	-898.60
0.81363	-31513	-921.18
0.84284	-31511	-944.06
0.87278	-31504	-967.05
0.90345	-31496	-990.55
0.93488	-31503	-1014.3
0.96705	-31503	-1038.5
1.0000	-31499	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -31736.98755399997
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-35014	-0.0088967
2.1544e-07	-34825	-0.081687
2.1715e-06	-34815	-0.25721
8.3895e-06	-34699	-0.55230
2.1888e-05	-34595	-1.0015
4.6050e-05	-34757	-1.5950
8.4561e-05	-34942	-2.3530
0.00014136	-34640	-3.2161
0.00022061	-34926	-4.2441
0.00032669	-34398	-5.4632
0.00046416	-33663	-6.6278
0.00063774	-33490	-8.1411
0.00085232	-33268	-9.5140
0.0011130	-33356	-11.216
0.0014248	-33349	-13.037
0.0017932	-32976	-14.990
0.0022237	-33135	-17.316
0.0027216	-32714	-19.689
0.0032929	-32931	-22.078
0.0039432	-32782	-24.801
0.0046784	-32864	-27.735
0.0055047	-32772	-30.936
0.0064280	-32794	-34.320
0.0074546	-32696	-37.873
0.0085909	-32653	-41.711
0.0098431	-32510	-45.670
0.011218	-32409	-49.839
0.012722	-32455	-54.214
0.014361	-32443	-58.839
0.016143	-32385	-63.435
0.018075	-32431	-68.636
0.020162	-32276	-73.588
0.022413	-32363	-79.216
0.024834	-32275	-84.763
0.027432	-32269	-90.465
0.030215	-32251	-96.661
0.033190	-32225	-102.98
0.036364	-32177	-109.55
0.039745	-32184	-116.46
0.043339	-32153	-123.46
0.047156	-32159	-130.84
0.051201	-32136	-138.44
0.055484	-32101	-146.23
0.060011	-32088	-154.25
0.064790	-32073	-162.65
0.069830	-32065	-171.11
0.075138	-32029	-179.90
0.080722	-31993	-188.87
0.086591	-31968	-198.18
0.092751	-31975	-207.69
0.099213	-31986	-217.51
0.10598	-31908	-227.42
0.11307	-31934	-237.82
0.12048	-31895	-248.25
0.12823	-31879	-259.02
0.13631	-31882	-270.20
0.14475	-31856	-281.36
0.15355	-31812	-292.89
0.16271	-31806	-304.68
0.17226	-31751	-316.69
0.18218	-31779	-329.19
0.19250	-31726	-341.55
0.20322	-31704	-354.48
0.21436	-31715	-367.56
0.22591	-31696	-380.87
0.23789	-31691	-394.83
0.25031	-31660	-408.63
0.26318	-31650	-423.02
0.27650	-31658	-437.61
0.29029	-31645	-452.41
0.30455	-31619	-467.28
0.31930	-31611	-482.86
0.33454	-31626	-498.73
0.35028	-31592	-514.61
0.36653	-31598	-531.04
0.38330	-31578	-547.40
0.40060	-31585	-564.50
0.41844	-31559	-581.56
0.43683	-31563	-598.94
0.45578	-31558	-616.96
0.47530	-31549	-634.93
0.49539	-31536	-653.38
0.51608	-31545	-672.03
0.53735	-31534	-691.24
0.55924	-31532	-710.53
0.58174	-31523	-729.98
0.60487	-31522	-749.96
0.62863	-31519	-770.18
0.65304	-31521	-790.83
0.67811	-31518	-811.77
0.70384	-31511	-832.92
0.73025	-31511	-854.50
0.75734	-31512	-876.35
0.78513	-31508	-898.60
0.81363	-31511	-921.15
0.84284	-31511	-943.99
0.87278	-31501	-967.05
0.90345	-31501	-990.51
0.93488	-31495	-1014.3
0.96705	-31456	-1038.3
1.0000	-31503	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -31737.030097954732
